Exchange,Date,Scrip Name,Buy/Sell,Qty,Rate,Net Amount,
NSE,21-01-2016,I C I C I BANK,BUY,2,227.93,-455.86,
NSE,21-01-2016,COAL INDIA LTD,BUY,2,294.11,-588.22,
NSE,22-01-2016,IDEA CELLULAR,BUY,5,107.79,-538.95,
NSE,28-01-2016,OIL INDIA LTD,BUY,2,344.21,-688.42,
NSE,28-01-2016,IDEA CELLULAR,BUY,3,108.44,-325.32,
NSE,03-02-2016,CROMPTON GREAVE,BUY,7,130.55,-913.85,
NSE,05-02-2016,SBI,BUY,5,165.22,-826.1,
NSE,05-02-2016,RELIANCE COMMUN,BUY,15,55.58,-833.7,
NSE,05-02-2016,I C I C I BANK,BUY,5,207.03,-1035.15,
NSE,09-02-2016,MOTHERSON SUMI,BUY,10,241.55,-2415.5,
NSE,10-02-2016,TATA MOTORS LTD,BUY,3,297.58,-892.74,
NSE,10-02-2016,OIL INDIA LTD,BUY,2,334.72,-669.44,
NSE,11-02-2016,TATA POWER COMP,BUY,9,56.68,-510.12,
NSE,11-02-2016,TATA MOTORS LTD,BUY,3,285.07,-855.21,
NSE,11-02-2016,SBI,BUY,4,154.97,-619.88,
NSE,12-02-2016,ONGC LIMITED,BUY,5,196.03,-980.15,
NSE,12-02-2016,I T C LIMITED,BUY,3,302.56,-907.68,
NSE,12-02-2016,B H E L,BUY,10,109.09,-1090.9,
NSE,17-02-2016,I C I C I BANK,BUY,3,194.92,-584.76,
NSE,19-02-2016,I T C LIMITED,BUY,3,305.57,-916.71,
NSE,23-02-2016,MOTHERSON SUMI,BUY,3,210.55,-631.65,
NSE,24-02-2016,NTPC LTD,BUY,12,116.53,-1398.36,
NSE,29-02-2016,I T C LIMITED,BUY,3,278.39,-835.17,
NSE,01-03-2016,ONGC LIMITED,BUY,3,192.49,-577.48,
NSE,01-03-2016,OIL INDIA LTD,BUY,2,304.06,-608.12,
